// Data mode  : Quaternion
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,QUATERNION_W,QUATERNION_X,QUATERNION_Y,QUATERNION_Z
,75,2018/03/15 00:39:14.57,-495666616,75615820,94691196,-944749669
,76,2018/03/15 00:39:14.59,-495416019,75846504,95046404,-944826949
,77,2018/03/15 00:39:14.61,-495185708,76060911,95251314,-944909809
,78,2018/03/15 00:39:14.63,-494901885,76139388,95274154,-945049872
,79,2018/03/15 00:39:14.65,-494499994,76145803,95157632,-945271445
,80,2018/03/15 00:39:14.67,-493991981,76144083,95000494,-945552968
,81,2018/03/15 00:39:14.69,-493418712,76144505,94834940,-945868823
,82,2018/03/15 00:39:14.71,-492823447,76105620,94736430,-946192105
,83,2018/03/15 00:39:14.73,-492258604,75983680,94685066,-946501026
,84,2018/03/15 00:39:14.75,-491733283,75844078,94694046,-946784347
,85,2018/03/15 00:39:14.77,-491228077,75739357,94789120,-947045435
,86,2018/03/15 00:39:14.79,-490715929,75612322,95005627,-947299367
,87,2018/03/15 00:39:14.81,-490174382,75437683,95331578,-947560884
,88,2018/03/15 00:39:14.83,-489630017,75281898,95726938,-947814825
,89,2018/03/15 00:39:14.85,-489134276,75159065,96185872,-948034050
,90,2018/03/15 00:39:14.87,-488734994,75075833,96634157,-948200966
,91,2018/03/15 00:39:14.89,-488420706,75059384,96980753,-948328816
,92,2018/03/15 00:39:14.91,-488202829,75055496,97183308,-948420572
,93,2018/03/15 00:39:14.93,-488083166,75042332,97264602,-948474869
,94,2018/03/15 00:39:14.95,-488038149,75000440,97263944,-948501414
,95,2018/03/15 00:39:14.97,-488008640,74937239,97212668,-948526848
,96,2018/03/15 00:39:14.99,-487995342,74798876,97136234,-948552441
,97,2018/03/15 00:39:15.01,-487991945,74590559,97028329,-948581636
,98,2018/03/15 00:39:15.03,-487999022,74345884,96916854,-948608599
,99,2018/03/15 00:39:15.05,-487992751,74134847,96857499,-948634404
,100,2018/03/15 00:39:15.07,-487980679,73908682,96887844,-948655162
,101,2018/03/15 00:39:15.09,-487948837,73693925,97004568,-948676319
,102,2018/03/15 00:39:15.11,-487852058,73477067,97235300,-948719291
,103,2018/03/15 00:39:15.13,-487633140,73287251,97512635,-948818050
,104,2018/03/15 00:39:15.15,-487282242,73104334,97840647,-948978655
,105,2018/03/15 00:39:15.17,-486811114,72947504,98211858,-949194152
,106,2018/03/15 00:39:15.19,-486258758,72803028,98552755,-949453000
,107,2018/03/15 00:39:15.21,-485666952,72559303,98849171,-949743706
,108,2018/03/15 00:39:15.23,-485143511,72365607,99051836,-950004860
,109,2018/03/15 00:39:15.25,-484795618,72324278,99230171,-950166979
,110,2018/03/15 00:39:15.27,-484682365,72388250,99410934,-950200989
,111,2018/03/15 00:39:15.29,-484931878,72386174,99599573,-950054076
,112,2018/03/15 00:39:15.31,-485886436,72197288,99790500,-949560576
,113,2018/03/15 00:39:15.33,-488312228,71657675,99997907,-948334473
,114,2018/03/15 00:39:15.35,-493656308,70335904,100304416,-945630394
,115,2018/03/15 00:39:15.37,-503737135,67520950,100548890,-940479265
,116,2018/03/15 00:39:15.39,-520107639,63003898,100773217,-931818018
,117,2018/03/15 00:39:15.41,-542476679,57022033,100364056,-919410736
,118,2018/03/15 00:39:15.43,-568858714,50229246,99237445,-903852986
,119,2018/03/15 00:39:15.45,-596701775,43531771,97541948,-886261276
,120,2018/03/15 00:39:15.47,-623077433,37313092,95181932,-868472309
,121,2018/03/15 00:39:15.49,-645740057,32139138,92683821,-852242964
,122,2018/03/15 00:39:15.51,-663296619,28044602,90132348,-839076136
,123,2018/03/15 00:39:15.53,-674952419,25031113,87598965,-830096744
,124,2018/03/15 00:39:15.55,-680693083,23698560,85431142,-825662359
,125,2018/03/15 00:39:15.57,-680832699,24209927,83685254,-825711209
,126,2018/03/15 00:39:15.59,-675881536,26306094,82637472,-829810035
,127,2018/03/15 00:39:15.61,-666660976,30012601,82337939,-837140585
,128,2018/03/15 00:39:15.63,-653935519,34897110,82316341,-846933324
,129,2018/03/15 00:39:15.65,-638314212,40419795,82354197,-858522277
,130,2018/03/15 00:39:15.67,-620327403,46120689,82448368,-871315424
,131,2018/03/15 00:39:15.69,-600582295,51929269,82630342,-884702205
,132,2018/03/15 00:39:15.71,-579740993,57685068,82871819,-898123924
,133,2018/03/15 00:39:15.73,-558376480,63011862,83104889,-911186202
,134,2018/03/15 00:39:15.75,-536891484,67710507,83260422,-923662292
,135,2018/03/15 00:39:15.77,-515529608,71569334,83290630,-935463110
,136,2018/03/15 00:39:15.79,-494888593,74737752,83549249,-946277221
,137,2018/03/15 00:39:15.81,-475809679,77438472,84170313,-955743322
,138,2018/03/15 00:39:15.83,-458958536,79388158,85229449,-963697063
