// Data mode  : Standard
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,EOG_L1,EOG_R1,EOG_L2,EOG_R2,EOG_H1,EOG_H2,EOG_V1,EOG_V2
,1,2018/03/15 01:38:48.92,-1697,9804,-13080,-62,125,-47,140,-187,-187,-31,-46
,2,2018/03/15 01:38:48.93,-1476,9731,-12847,-43,138,-35,148,-181,-183,-47,-56
,3,2018/03/15 01:38:48.94,-1585,9992,-12801,-35,146,-38,144,-181,-182,-55,-53
,4,2018/03/15 01:38:48.95,-1536,10124,-12784,-50,126,-48,130,-176,-178,-38,-41
,5,2018/03/15 01:38:48.96,-1529,10193,-12918,-54,123,-54,126,-177,-180,-34,-36
,6,2018/03/15 01:38:48.97,-1582,10224,-12842,-57,122,-49,132,-179,-181,-32,-41
,7,2018/03/15 01:38:48.98,-1617,10270,-12751,-55,125,-56,128,-180,-184,-35,-36
,8,2018/03/15 01:38:48.99,-1566,10169,-12817,-60,130,-61,125,-190,-186,-35,-32
,9,2018/03/15 01:38:49.00,-1658,10003,-12869,-69,113,-54,135,-182,-189,-22,-40
,10,2018/03/15 01:38:49.01,-1742,9965,-12828,-66,118,-66,117,-184,-183,-26,-25
,11,2018/03/15 01:38:49.02,-1708,9864,-12803,-64,110,-61,115,-174,-176,-23,-27
,12,2018/03/15 01:38:49.03,-1665,9774,-12669,-69,103,-78,92,-172,-170,-17,-7
,13,2018/03/15 01:38:49.04,-1686,9698,-12452,-73,98,-73,99,-171,-172,-12,-13
,14,2018/03/15 01:38:49.05,-1910,9439,-12581,-78,89,-74,96,-167,-170,-5,-11
,15,2018/03/15 01:38:49.06,-1659,9915,-12819,-79,86,-74,88,-165,-162,-3,-7
,16,2018/03/15 01:38:49.07,-1755,9771,-12821,-78,80,-73,87,-158,-160,-1,-7
,17,2018/03/15 01:38:49.08,-1915,10441,-13066,-83,66,-76,78,-149,-154,8,-1
,18,2018/03/15 01:38:49.09,-1635,10554,-12837,-74,78,-74,79,-152,-153,-2,-2
,19,2018/03/15 01:38:49.10,-1909,10026,-12855,-76,73,-67,86,-149,-153,1,-9
,20,2018/03/15 01:38:49.11,-1777,10095,-12903,-67,83,-68,82,-150,-150,-8,-7
,21,2018/03/15 01:38:49.12,-1786,10073,-12901,-69,79,-63,86,-148,-149,-5,-11
,22,2018/03/15 01:38:49.13,-1777,10048,-12831,-70,75,-69,80,-145,-149,-2,-5
,23,2018/03/15 01:38:49.14,-1736,10027,-12709,-70,75,-64,80,-145,-144,-2,-8
,24,2018/03/15 01:38:49.15,-1690,10015,-12875,-65,74,-56,90,-139,-146,-4,-17
,25,2018/03/15 01:38:49.16,-1778,9922,-12896,-59,85,-54,86,-144,-140,-13,-16
,26,2018/03/15 01:38:49.17,-1697,9889,-12936,-52,84,-46,89,-136,-135,-16,-21
,27,2018/03/15 01:38:49.18,-1744,9939,-12980,-48,78,-44,87,-126,-131,-15,-21
,28,2018/03/15 01:38:49.19,-1749,9938,-12933,-41,91,-45,91,-132,-136,-25,-23
,29,2018/03/15 01:38:49.20,-1710,9920,-12884,-50,83,-42,98,-133,-140,-16,-28
,30,2018/03/15 01:38:49.21,-1649,9915,-12902,-43,94,-35,107,-137,-142,-25,-36
,31,2018/03/15 01:38:49.22,-1703,9981,-12783,-29,113,-19,124,-142,-143,-42,-52
,32,2018/03/15 01:38:49.23,-1701,9943,-12743,-17,116,-12,126,-133,-138,-49,-57
,33,2018/03/15 01:38:49.24,-1717,9850,-12811,-12,123,-14,124,-135,-138,-55,-55
,34,2018/03/15 01:38:49.25,-1702,9889,-12832,-20,116,-15,126,-136,-141,-48,-55
,35,2018/03/15 01:38:49.26,-1673,9986,-12857,-24,116,-23,118,-140,-141,-46,-47
,36,2018/03/15 01:38:49.27,-1682,10057,-12848,-28,114,-25,117,-142,-142,-43,-46
,37,2018/03/15 01:38:49.28,-1739,9961,-12817,-33,107,-32,117,-140,-149,-37,-42
,38,2018/03/15 01:38:49.29,-1559,9845,-12687,-29,119,-35,118,-148,-153,-45,-41
,39,2018/03/15 01:38:49.30,-1703,9756,-12892,-39,111,-36,120,-150,-156,-36,-42
,40,2018/03/15 01:38:49.31,-1696,9811,-12918,-44,109,-45,106,-153,-151,-32,-30
,41,2018/03/15 01:38:49.32,-1643,9854,-12988,-48,102,-49,103,-150,-152,-27,-27
,42,2018/03/15 01:38:49.33,-1629,9975,-13076,-53,88,-51,92,-141,-143,-17,-20
,43,2018/03/15 01:38:49.34,-1668,10295,-13095,-53,84,-56,84,-137,-140,-15,-14
,44,2018/03/15 01:38:49.35,-1692,10249,-12844,-64,74,-60,82,-138,-142,-5,-11
,45,2018/03/15 01:38:49.36,-1639,10209,-12783,-64,72,-65,73,-136,-138,-4,-4
,46,2018/03/15 01:38:49.37,-1831,9979,-12802,-64,71,-61,75,-135,-136,-3,-7
,47,2018/03/15 01:38:49.38,-1627,10113,-13174,-64,68,-61,76,-132,-137,-2,-7
,48,2018/03/15 01:38:49.39,-1859,9943,-12955,-63,73,-68,70,-136,-138,-5,-1
,49,2018/03/15 01:38:49.40,-1594,9744,-12642,-70,69,-69,73,-139,-142,0,-2
,50,2018/03/15 01:38:49.41,-1725,9303,-12397,-70,67,-48,96,-137,-144,1,-24
,51,2018/03/15 01:38:49.42,-1489,9364,-12996,-48,96,-45,100,-144,-145,-24,-27
,52,2018/03/15 01:38:49.43,-1534,9442,-12927,-37,104,-23,121,-141,-144,-33,-49
,53,2018/03/15 01:38:49.44,-1593,9643,-12870,-8,137,-3,135,-145,-138,-64,-66
,54,2018/03/15 01:38:49.45,-1539,9709,-12774,7,146,11,154,-139,-143,-76,-82
,55,2018/03/15 01:38:49.46,-1533,10048,-12876,0,138,-5,136,-138,-141,-69,-65
,56,2018/03/15 01:38:49.47,-1579,10105,-13011,-16,122,-18,121,-138,-139,-53,-51
,57,2018/03/15 01:38:49.48,-1621,10238,-13030,-33,105,-31,107,-138,-138,-36,-38
,58,2018/03/15 01:38:49.49,-1596,10300,-12884,-39,98,-39,102,-137,-141,-29,-31
,59,2018/03/15 01:38:49.50,-1652,10280,-12729,-38,98,-43,102,-136,-145,-30,-29
,60,2018/03/15 01:38:49.51,-1614,10277,-12963,-41,99,-38,106,-140,-144,-29,-34
,61,2018/03/15 01:38:49.52,-1631,10111,-12953,-37,104,-39,106,-141,-145,-33,-33
,62,2018/03/15 01:38:49.53,-1689,10085,-12885,-46,96,-41,103,-142,-144,-25,-31
,63,2018/03/15 01:38:49.54,-1728,10009,-12837,-50,93,-57,93,-143,-150,-21,-18
,64,2018/03/15 01:38:49.55,-1765,9969,-12748,-60,84,-60,92,-144,-152,-12,-16
,65,2018/03/15 01:38:49.56,-1808,9942,-12848,-66,80,-63,88,-146,-151,-7,-12
,66,2018/03/15 01:38:49.57,-1841,9873,-12747,-65,83,-65,85,-148,-150,-9,-10
,67,2018/03/15 01:38:49.58,-1754,9857,-12721,-72,73,-68,83,-145,-151,0,-7
,68,2018/03/15 01:38:49.59,-1739,9854,-12857,-72,75,-74,76,-147,-150,-1,-1
,69,2018/03/15 01:38:49.60,-1660,10169,-12816,-71,74,-68,85,-145,-153,-1,-8
,70,2018/03/15 01:38:49.61,-1724,9853,-12145,-71,74,-70,80,-145,-150,-1,-5
,71,2018/03/15 01:38:49.62,-2019,9421,-12800,-70,74,-66,77,-144,-143,-2,-5
,72,2018/03/15 01:38:49.63,-1741,9868,-13133,-66,67,-53,76,-133,-129,0,-11
,73,2018/03/15 01:38:49.64,-1664,9824,-13202,-51,64,-43,64,-115,-107,-6,-10
,74,2018/03/15 01:38:49.65,-1742,10211,-12891,-38,57,-26,63,-95,-89,-9,-18
,75,2018/03/15 01:38:49.66,-1568,10464,-12753,-28,52,-23,56,-80,-79,-12,-16
,76,2018/03/15 01:38:49.67,-1684,10354,-12855,-20,55,-20,60,-75,-80,-17,-20
,77,2018/03/15 01:38:49.68,-1596,10488,-12782,-23,55,-17,68,-78,-85,-16,-25
,78,2018/03/15 01:38:49.69,-1653,10216,-12809,-19,64,-21,65,-83,-86,-22,-22
,79,2018/03/15 01:38:49.70,-1691,10100,-12807,-23,61,-17,70,-84,-87,-19,-26
,80,2018/03/15 01:38:49.71,-1701,10048,-12894,-22,60,-16,70,-82,-86,-19,-27
,81,2018/03/15 01:38:49.72,-1711,9965,-12932,-18,69,-19,73,-87,-92,-25,-27
,82,2018/03/15 01:38:49.73,-1679,9838,-13004,-21,69,-16,81,-90,-97,-24,-32
,83,2018/03/15 01:38:49.74,-1605,9796,-12881,-20,72,-18,75,-92,-93,-26,-28
,84,2018/03/15 01:38:49.75,-1672,9689,-12853,-18,73,-12,86,-91,-98,-27,-37
,85,2018/03/15 01:38:49.76,-1761,9746,-12832,-19,80,-15,92,-99,-107,-30,-38
,86,2018/03/15 01:38:49.77,-1643,9905,-12855,-18,93,-17,94,-111,-111,-37,-38
,87,2018/03/15 01:38:49.78,-1673,9969,-12705,-22,89,-18,94,-111,-112,-33,-38
,88,2018/03/15 01:38:49.79,-1613,9979,-12685,-22,88,-26,88,-110,-114,-33,-31
,89,2018/03/15 01:38:49.80,-1702,10083,-12787,-30,85,-27,91,-115,-118,-27,-32
,90,2018/03/15 01:38:49.81,-1560,10125,-12868,-30,83,-28,84,-113,-112,-26,-28
,91,2018/03/15 01:38:49.82,-1627,10017,-12952,-33,77,-24,87,-110,-111,-22,-31
,92,2018/03/15 01:38:49.83,-1597,10097,-12962,-37,71,-31,79,-108,-110,-17,-24
,93,2018/03/15 01:38:49.84,-1567,10121,-12924,-31,78,-39,77,-109,-116,-23,-19
,94,2018/03/15 01:38:49.85,-1570,9868,-12797,-37,78,-35,81,-115,-116,-20,-23
,95,2018/03/15 01:38:49.86,-1523,9776,-12830,-36,82,-27,94,-118,-121,-23,-33
,96,2018/03/15 01:38:49.87,-1498,9710,-12981,-23,89,-22,96,-112,-118,-33,-37
,97,2018/03/15 01:38:49.88,-1534,9812,-12987,-24,89,-16,102,-113,-118,-32,-43
,98,2018/03/15 01:38:49.89,-1667,10016,-13169,-23,91,-27,90,-114,-117,-34,-31
,99,2018/03/15 01:38:49.90,-1617,10217,-13043,-37,79,-29,88,-116,-117,-21,-29
,100,2018/03/15 01:38:49.91,-1655,10145,-13054,-40,79,-50,72,-119,-122,-19,-11
,101,2018/03/15 01:38:49.92,-1768,10316,-12945,-48,73,-50,75,-121,-125,-12,-12
,102,2018/03/15 01:38:49.93,-1807,10105,-12952,-52,71,-52,75,-123,-127,-9,-11
,103,2018/03/15 01:38:49.94,-1759,10244,-12786,-62,57,-63,58,-119,-121,2,2
,104,2018/03/15 01:38:49.95,-1864,9996,-12801,-69,50,-69,51,-119,-120,9,9
,105,2018/03/15 01:38:49.96,-2016,10087,-13042,-83,37,-78,44,-120,-122,23,17
,106,2018/03/15 01:38:49.97,-1971,10034,-12799,-82,44,-82,51,-126,-133,19,15
,107,2018/03/15 01:38:49.98,-1956,9631,-12586,-89,45,-88,52,-134,-140,22,18
,108,2018/03/15 01:38:49.99,-1794,9422,-12278,-88,47,-78,56,-135,-134,20,11
,109,2018/03/15 01:38:50.00,-1607,9434,-12773,-64,62,-52,72,-126,-124,1,-10
,110,2018/03/15 01:38:50.01,-1721,9470,-13010,-51,65,-36,79,-116,-115,-7,-21
,111,2018/03/15 01:38:50.02,-1621,9605,-12757,-36,72,-37,71,-108,-108,-18,-17
,112,2018/03/15 01:38:50.03,-1736,9758,-12786,-50,54,-59,48,-104,-107,-2,5
,113,2018/03/15 01:38:50.04,-1717,10042,-12841,-76,24,-84,22,-100,-106,26,31
,114,2018/03/15 01:38:50.05,-1748,10100,-12905,-89,13,-93,17,-102,-110,38,38
,115,2018/03/15 01:38:50.06,-1668,10103,-12873,-96,9,-89,24,-105,-113,43,32
,116,2018/03/15 01:38:50.07,-1731,10187,-12850,-90,23,-86,33,-113,-119,33,26
,117,2018/03/15 01:38:50.08,-1764,10224,-12848,-86,35,-76,53,-121,-129,25,11
,118,2018/03/15 01:38:50.09,-1751,10128,-12893,-72,52,-64,64,-124,-128,10,0
,119,2018/03/15 01:38:50.10,-1779,10085,-12901,-59,69,-52,77,-128,-129,-5,-12
,120,2018/03/15 01:38:50.11,-1880,10043,-12849,-52,79,-43,91,-131,-134,-13,-24
,121,2018/03/15 01:38:50.12,-1785,10006,-12782,-43,87,-41,93,-130,-134,-22,-26
,122,2018/03/15 01:38:50.13,-1787,9973,-12814,-34,94,-25,111,-128,-136,-30,-43
,123,2018/03/15 01:38:50.14,-1799,9932,-12878,-26,104,-19,114,-130,-133,-39,-47
,124,2018/03/15 01:38:50.15,-1777,9931,-12773,-17,112,-16,116,-129,-132,-47,-50
,125,2018/03/15 01:38:50.16,-1718,9501,-12393,-23,109,-19,117,-132,-136,-43,-49
,126,2018/03/15 01:38:50.17,-2004,9648,-12867,-25,115,-22,116,-140,-138,-45,-47
,127,2018/03/15 01:38:50.18,-1688,10154,-13108,-22,118,-16,120,-140,-136,-48,-52
,128,2018/03/15 01:38:50.19,-1886,9839,-12861,-16,114,-21,112,-130,-133,-49,-45
,129,2018/03/15 01:38:50.20,-1804,10389,-12982,-21,106,-22,106,-127,-128,-42,-42
,130,2018/03/15 01:38:50.21,-1754,10305,-12838,-27,98,-22,109,-125,-131,-35,-43
