// Data mode  : Standard
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,EOG_L1,EOG_R1,EOG_L2,EOG_R2,EOG_H1,EOG_H2,EOG_V1,EOG_V2
,1,2018/03/15 01:36:17.01,-1240,9481,-13391,-154,-6,-182,-58,-148,-124,80,120
,2,2018/03/15 01:36:17.03,-1309,9965,-13273,-137,-20,-96,12,-117,-108,78,42
,3,2018/03/15 01:36:17.05,-1443,10207,-13681,168,300,433,588,-132,-155,-234,-510
,4,2018/03/15 01:36:17.07,-1488,10224,-13788,519,668,426,567,-149,-141,-593,-496
,5,2018/03/15 01:36:17.09,-1599,10269,-13754,142,256,-30,67,-114,-97,-199,-18
,6,2018/03/15 01:36:17.11,-1566,9947,-13362,-159,-70,-292,-219,-89,-73,114,255
,7,2018/03/15 01:36:17.13,-1497,10132,-13256,-382,-317,-487,-439,-65,-48,349,463
,8,2018/03/15 01:36:17.15,-1546,10479,-13306,-449,-413,-356,-318,-36,-38,431,337
,9,2018/03/15 01:36:17.17,-1773,10469,-13711,-292,-258,-184,-139,-34,-45,275,161
,10,2018/03/15 01:36:17.19,-2053,10414,-13999,-177,-125,-134,-74,-52,-60,151,104
,11,2018/03/15 01:36:17.21,-2244,10414,-14120,-90,-15,-86,0,-75,-86,52,43
,12,2018/03/15 01:36:17.23,-2326,10332,-13902,-6,92,-36,72,-98,-108,-43,-18
,13,2018/03/15 01:36:17.25,-2342,10040,-13479,-10,99,19,128,-109,-109,-44,-73
,14,2018/03/15 01:36:17.27,-2245,9713,-13487,-8,103,58,171,-111,-113,-47,-114
,15,2018/03/15 01:36:17.29,-2212,8927,-13735,33,155,32,151,-122,-119,-94,-91
,16,2018/03/15 01:36:17.31,-2044,9971,-13949,42,168,-2,117,-126,-119,-105,-57
,17,2018/03/15 01:36:17.33,-1987,8959,-13736,56,185,39,180,-129,-141,-120,-109
,18,2018/03/15 01:36:17.35,-1791,8775,-13989,54,198,84,235,-144,-151,-126,-159
,19,2018/03/15 01:36:17.37,-1717,8364,-13765,19,167,49,201,-148,-152,-93,-125
,20,2018/03/15 01:36:17.39,-1630,8114,-13659,-11,147,-43,121,-158,-164,-68,-39
,21,2018/03/15 01:36:17.41,-1583,7995,-13410,-21,155,-68,112,-176,-180,-67,-22
,22,2018/03/15 01:36:17.43,-1759,8075,-13225,-17,162,-58,119,-179,-177,-72,-30
,23,2018/03/15 01:36:17.45,-1908,8183,-13483,-84,98,-35,146,-182,-181,-7,-55
,24,2018/03/15 01:36:17.47,-2163,8166,-13269,-63,107,-4,171,-170,-175,-22,-83
,25,2018/03/15 01:36:17.49,-2176,8593,-13160,-3,169,5,180,-172,-175,-83,-92
,26,2018/03/15 01:36:17.51,-2310,8723,-13205,71,267,36,241,-196,-205,-169,-138
,27,2018/03/15 01:36:17.53,-2347,9017,-13269,90,300,104,312,-210,-208,-195,-208
,28,2018/03/15 01:36:17.55,-2147,9086,-13123,91,297,134,353,-206,-219,-194,-243
,29,2018/03/15 01:36:17.57,-1986,9010,-13378,81,288,134,354,-207,-220,-184,-244
,30,2018/03/15 01:36:17.59,-1739,8882,-13564,167,387,158,357,-220,-199,-277,-257
,31,2018/03/15 01:36:17.61,-1690,8862,-13780,201,398,150,329,-197,-179,-299,-239
,32,2018/03/15 01:36:17.63,-1563,8213,-14027,185,374,184,390,-189,-206,-279,-287
,33,2018/03/15 01:36:17.65,-1626,7758,-14000,151,353,202,417,-202,-215,-252,-309
,34,2018/03/15 01:36:17.67,-1562,7894,-14085,167,373,206,415,-206,-209,-270,-310
,35,2018/03/15 01:36:17.69,-1769,8013,-13851,196,403,137,334,-207,-197,-299,-235
,36,2018/03/15 01:36:17.71,-1797,7735,-13598,159,349,68,245,-190,-177,-254,-156
,37,2018/03/15 01:36:17.73,-1912,7754,-13543,16,177,-78,66,-161,-144,-96,6
,38,2018/03/15 01:36:17.75,-2034,7950,-13360,-189,-74,-174,-70,-115,-104,131,122
,39,2018/03/15 01:36:17.77,-2194,8415,-13727,-201,-100,-139,-40,-101,-99,150,89
,40,2018/03/15 01:36:17.79,-2542,8229,-14157,-78,25,-66,35,-103,-101,26,15
,41,2018/03/15 01:36:17.81,-2535,8371,-14231,9,111,-35,59,-102,-94,-60,-12
,42,2018/03/15 01:36:17.83,-2616,9273,-14256,-2,94,50,147,-96,-97,-46,-98
,43,2018/03/15 01:36:17.85,-2652,9460,-14089,51,144,152,256,-93,-104,-97,-204
,44,2018/03/15 01:36:17.87,-2815,9448,-14071,153,271,165,292,-118,-127,-212,-228
,45,2018/03/15 01:36:17.89,-2930,9446,-14063,146,275,22,144,-129,-122,-210,-83
,46,2018/03/15 01:36:17.91,-2914,9355,-13905,-11,112,-99,11,-123,-110,-50,44
,47,2018/03/15 01:36:17.93,-2777,9234,-13613,-131,-27,-128,-21,-104,-107,79,74
,48,2018/03/15 01:36:17.95,-2693,9002,-13335,-188,-92,-178,-74,-96,-104,140,126
,49,2018/03/15 01:36:17.97,-2589,8788,-13481,-242,-140,-281,-187,-102,-94,191,234
,50,2018/03/15 01:36:17.99,-2701,8338,-13732,-276,-178,-328,-240,-98,-88,227,284
,51,2018/03/15 01:36:18.01,-2453,8619,-13736,-319,-242,-383,-317,-77,-66,280,350
,52,2018/03/15 01:36:18.03,-2593,8060,-12792,-452,-401,-464,-415,-51,-49,426,439
,53,2018/03/15 01:36:18.05,-2598,7911,-13016,-462,-418,-336,-281,-44,-55,440,308
,54,2018/03/15 01:36:18.07,-2584,8178,-13444,-272,-198,-218,-133,-74,-85,235,175
,55,2018/03/15 01:36:18.09,-2633,8580,-13686,-142,-48,-176,-88,-94,-88,95,132
,56,2018/03/15 01:36:18.11,-2738,9037,-13830,-116,-23,-97,2,-93,-99,69,47
,57,2018/03/15 01:36:18.13,-2967,9170,-13590,-87,14,-17,95,-101,-112,36,-39
,58,2018/03/15 01:36:18.15,-3052,9468,-13410,-55,62,-3,117,-117,-120,-3,-57
,59,2018/03/15 01:36:18.17,-3128,9273,-13044,-3,114,-25,90,-117,-115,-55,-32
,60,2018/03/15 01:36:18.19,-3167,9354,-12949,21,148,-28,93,-127,-121,-84,-32
,61,2018/03/15 01:36:18.21,-3186,9019,-13097,5,141,11,152,-136,-141,-73,-81
,62,2018/03/15 01:36:18.23,-3259,9090,-13139,-8,122,43,186,-130,-143,-57,-114
,63,2018/03/15 01:36:18.25,-3362,9223,-13231,-8,135,10,156,-143,-146,-63,-83
,64,2018/03/15 01:36:18.27,-3450,9609,-13188,-17,132,-87,49,-149,-136,-57,19
