// Data mode  : Standard
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,EOG_L1,EOG_R1,EOG_L2,EOG_R2,EOG_H1,EOG_H2,EOG_V1,EOG_V2
,1,2018/03/15 01:38:33.83,-1174,9698,-13076,-54,78,-54,80,-132,-134,-12,-13
,2,2018/03/15 01:38:33.85,-1194,9632,-13011,-55,79,-58,82,-134,-140,-12,-12
,3,2018/03/15 01:38:33.87,-1096,9535,-13067,-60,77,-60,82,-137,-142,-8,-11
,4,2018/03/15 01:38:33.89,-1073,9262,-12855,-64,78,-55,91,-142,-146,-7,-18
,5,2018/03/15 01:38:33.91,-1175,10031,-13635,-51,90,-47,95,-141,-142,-19,-24
,6,2018/03/15 01:38:33.93,-1216,10156,-12977,-40,101,-45,106,-141,-151,-30,-30
,7,2018/03/15 01:38:33.95,-1255,9650,-12946,-38,114,-42,111,-152,-153,-38,-34
,8,2018/03/15 01:38:33.97,-1239,9297,-13043,-40,110,-41,111,-150,-152,-35,-35
,9,2018/03/15 01:38:33.99,-1143,9659,-13334,-44,105,-44,105,-149,-149,-30,-30
,10,2018/03/15 01:38:34.01,-1137,9638,-13261,-43,106,-47,103,-149,-150,-31,-28
,11,2018/03/15 01:38:34.03,-1182,9942,-13085,-40,113,-40,107,-153,-147,-36,-33
,12,2018/03/15 01:38:34.05,-1188,9770,-13101,-34,119,-33,119,-153,-152,-42,-43
,13,2018/03/15 01:38:34.07,-1106,9885,-13120,-38,118,-27,123,-156,-150,-40,-48
,14,2018/03/15 01:38:34.09,-1261,9662,-13209,-32,122,-26,132,-154,-158,-45,-53
,15,2018/03/15 01:38:34.11,-1219,9691,-13215,-27,133,-20,142,-160,-162,-53,-61
,16,2018/03/15 01:38:34.13,-1265,9615,-12965,-19,142,-28,132,-161,-160,-61,-52
,17,2018/03/15 01:38:34.15,-1234,9302,-12904,-33,128,-37,124,-161,-161,-47,-43
,18,2018/03/15 01:38:34.17,-1080,9230,-13137,-45,112,-46,113,-157,-159,-33,-33
,19,2018/03/15 01:38:34.19,-1111,9566,-13025,-50,104,-52,104,-154,-156,-27,-26
,20,2018/03/15 01:38:34.21,-1134,9631,-13247,-57,95,-75,80,-152,-155,-19,-2
,21,2018/03/15 01:38:34.23,-1256,10605,-13598,-61,87,-54,90,-148,-144,-13,-18
,22,2018/03/15 01:38:34.25,-1035,9385,-12349,-24,113,-12,119,-137,-131,-44,-53
,23,2018/03/15 01:38:34.27,-1225,9324,-13069,7,140,9,143,-133,-134,-73,-76
,24,2018/03/15 01:38:34.29,-1216,9164,-12922,-15,120,-27,106,-135,-133,-52,-39
,25,2018/03/15 01:38:34.31,-1196,9355,-13061,-32,98,-32,95,-130,-127,-33,-31
,26,2018/03/15 01:38:34.33,-1050,9541,-13225,-24,101,-27,99,-125,-126,-38,-36
,27,2018/03/15 01:38:34.35,-1125,9682,-13145,-29,102,-32,98,-131,-130,-36,-33
,28,2018/03/15 01:38:34.37,-1044,9723,-13220,-34,95,-29,102,-129,-131,-30,-36
,29,2018/03/15 01:38:34.39,-1036,9478,-13179,-35,103,-36,99,-138,-135,-34,-31
,30,2018/03/15 01:38:34.41,-1086,9370,-13341,-40,99,-38,97,-139,-135,-29,-29
,31,2018/03/15 01:38:34.43,-1127,9290,-14112,-27,106,-22,106,-133,-128,-39,-42
,32,2018/03/15 01:38:34.45,-1275,9666,-15247,-18,106,-5,112,-124,-117,-44,-53
,33,2018/03/15 01:38:34.47,-2136,10964,-13921,10,120,21,140,-110,-119,-65,-80
,34,2018/03/15 01:38:34.49,-2145,11540,-14020,10,129,-14,116,-119,-130,-69,-51
,35,2018/03/15 01:38:34.51,-2198,10376,-12479,-6,132,-25,117,-138,-142,-63,-46
,36,2018/03/15 01:38:34.53,-2136,10498,-12217,-54,84,-79,50,-138,-129,-15,14
,37,2018/03/15 01:38:34.55,-1858,10549,-11122,-102,28,-112,18,-130,-130,37,47
,38,2018/03/15 01:38:34.57,-1538,9908,-11200,-123,9,-110,29,-132,-139,57,40
