// Data mode  : Quaternion
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,QUATERNION_W,QUATERNION_X,QUATERNION_Y,QUATERNION_Z
,1,2018/03/15 00:39:05.04,-705971035,89214347,37597033,-803214584
,2,2018/03/15 00:39:05.06,-705582923,89369739,38113460,-803513946
,3,2018/03/15 00:39:05.08,-705189550,89625458,38553301,-803809758
,4,2018/03/15 00:39:05.10,-704811277,90012162,38911012,-804081038
,5,2018/03/15 00:39:05.12,-704450660,90461440,39314417,-804326972
,6,2018/03/15 00:39:05.14,-704125766,90817955,39776403,-804548538
,7,2018/03/15 00:39:05.16,-703842493,91128044,40316375,-804734442
,8,2018/03/15 00:39:05.18,-703606853,91441643,40928490,-804874020
,9,2018/03/15 00:39:05.20,-703388244,91705325,41520025,-805004786
,10,2018/03/15 00:39:05.22,-703203213,91903018,42074079,-805115119
,11,2018/03/15 00:39:05.24,-703007782,91993110,42589152,-805248407
,12,2018/03/15 00:39:05.26,-702779914,92039579,43035863,-805418234
,13,2018/03/15 00:39:05.28,-702504254,92009616,43431664,-805640863
,14,2018/03/15 00:39:05.30,-702173327,91945031,43846685,-805914205
,15,2018/03/15 00:39:05.32,-701829580,91898297,44227749,-806198088
,16,2018/03/15 00:39:05.34,-701478467,91912424,44610354,-806480929
,17,2018/03/15 00:39:05.36,-701155659,91968296,45034859,-806731642
,18,2018/03/15 00:39:05.38,-700847998,92055629,45509136,-806962372
,19,2018/03/15 00:39:05.40,-700563232,92144172,45981147,-807172751
,20,2018/03/15 00:39:05.42,-700282771,92234180,46465160,-807378097
,21,2018/03/15 00:39:05.44,-700024947,92293428,46966928,-807565855
,22,2018/03/15 00:39:05.46,-699783142,92350438,47502308,-807737574
,23,2018/03/15 00:39:05.48,-699567136,92380278,48061511,-807888176
,24,2018/03/15 00:39:05.50,-699379815,92381661,48603842,-808017745
,25,2018/03/15 00:39:05.52,-699226392,92361898,49148188,-808119853
,26,2018/03/15 00:39:05.54,-699124935,92389134,49697001,-808170952
,27,2018/03/15 00:39:05.56,-699109189,92439588,50280025,-808142741
,28,2018/03/15 00:39:05.58,-699179230,92500103,50881784,-808037553
,29,2018/03/15 00:39:05.60,-699345466,92592353,51537803,-807841530
,30,2018/03/15 00:39:05.62,-699637998,92748087,52253403,-807524336
,31,2018/03/15 00:39:05.64,-700075684,92880903,53014938,-807079983
,32,2018/03/15 00:39:05.66,-700651113,92992522,53800652,-806515595
,33,2018/03/15 00:39:05.68,-701413207,93093216,54613411,-805786601
,34,2018/03/15 00:39:05.70,-702376028,93140468,55445406,-804885136
,35,2018/03/15 00:39:05.72,-703495043,93098778,56354968,-803848846
,36,2018/03/15 00:39:05.74,-704705282,93019243,57372061,-802725258
,37,2018/03/15 00:39:05.76,-705949921,92916646,58497991,-801561413
,38,2018/03/15 00:39:05.78,-707177799,92752868,59659786,-800411571
,39,2018/03/15 00:39:05.80,-708364852,92574025,60802874,-799295817
,40,2018/03/15 00:39:05.82,-709590172,92498431,61854978,-798136139
,41,2018/03/15 00:39:05.84,-710832535,92543243,62729894,-796956287
,42,2018/03/15 00:39:05.86,-712565531,92717355,63804283,-795301437
,43,2018/03/15 00:39:05.88,-713476077,92748264,64392660,-794433597
,44,2018/03/15 00:39:05.90,-714037647,92739169,64715635,-793903697
,45,2018/03/15 00:39:05.92,-714153943,92787424,64803101,-793786310
,46,2018/03/15 00:39:05.94,-713799645,92904465,64758268,-794094895
,47,2018/03/15 00:39:05.96,-713036586,93085353,64682186,-794765164
,48,2018/03/15 00:39:05.98,-712069243,93337549,64679663,-795602629
,49,2018/03/15 00:39:06.00,-711087026,93562124,64719543,-796451040
,50,2018/03/15 00:39:06.02,-710213983,93787346,64765532,-797199451
,51,2018/03/15 00:39:06.04,-709505433,93996647,64803592,-797802402
,52,2018/03/15 00:39:06.06,-708979813,94230370,64839085,-798239101
,53,2018/03/15 00:39:06.08,-708581176,94415779,64924414,-798564153
,54,2018/03/15 00:39:06.10,-708252532,94638552,65052228,-798818885
,55,2018/03/15 00:39:06.12,-707962530,94879472,65267775,-799029766
,56,2018/03/15 00:39:06.14,-707678590,95105074,65542135,-799231990
,57,2018/03/15 00:39:06.16,-707396325,95316838,65853498,-799431024
,58,2018/03/15 00:39:06.18,-707101859,95547251,66168963,-799637955
,59,2018/03/15 00:39:06.20,-706817669,95745682,66465939,-799840818
,60,2018/03/15 00:39:06.22,-706570898,95987913,66768041,-800004639
,61,2018/03/15 00:39:06.24,-706414424,96242458,67030933,-800090253
,62,2018/03/15 00:39:06.26,-706361125,96453838,67254683,-800093077
,63,2018/03/15 00:39:06.28,-706407989,96604954,67465426,-800015725
,64,2018/03/15 00:39:06.30,-706537191,96691165,67637811,-799876647
,65,2018/03/15 00:39:06.32,-706707148,96676014,67807472,-799713955
,66,2018/03/15 00:39:06.34,-706878856,96616659,67969230,-799555623
,67,2018/03/15 00:39:06.36,-707035422,96497242,68095239,-799420878
,68,2018/03/15 00:39:06.38,-707113713,96327506,68212882,-799362069
,69,2018/03/15 00:39:06.40,-707080399,96160571,68360669,-799399012
,70,2018/03/15 00:39:06.42,-706932796,95966762,68553205,-799536345
,71,2018/03/15 00:39:06.44,-706681860,95833265,68752067,-799757084
,72,2018/03/15 00:39:06.46,-706331758,95770630,68998595,-800052583
,73,2018/03/15 00:39:06.48,-705915335,95776945,69282628,-800394741
,74,2018/03/15 00:39:06.50,-705459860,95760249,69504352,-800779003
,75,2018/03/15 00:39:06.52,-704965254,95644400,69630236,-801217372
,76,2018/03/15 00:39:06.54,-704503876,95714045,69713536,-801607535
,77,2018/03/15 00:39:06.56,-704141278,95967312,69850392,-801883886
,78,2018/03/15 00:39:06.58,-703864200,96278899,70159435,-802062792
