// Data mode  : Quaternion
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,QUATERNION_W,QUATERNION_X,QUATERNION_Y,QUATERNION_Z
,79,2018/03/15 00:39:06.60,-703626053,96555986,70554579,-802203763
,80,2018/03/15 00:39:06.62,-703363180,96726831,70971945,-802376873
,81,2018/03/15 00:39:06.64,-703007087,96788402,71297978,-802652569
,82,2018/03/15 00:39:06.66,-702523128,96781999,71566247,-803053099
,83,2018/03/15 00:39:06.68,-701915917,96753335,71829725,-803563834
,84,2018/03/15 00:39:06.70,-701246324,96744156,72145297,-804121088
,85,2018/03/15 00:39:06.72,-700574919,96722729,72468887,-804679604
,86,2018/03/15 00:39:06.74,-699938284,96689743,72780814,-805209260
,87,2018/03/15 00:39:06.76,-699354468,96601075,73023202,-805705082
,88,2018/03/15 00:39:06.78,-698838609,96541612,73249005,-806139197
,89,2018/03/15 00:39:06.80,-698378147,96478314,73447166,-806527693
,90,2018/03/15 00:39:06.82,-697963419,96414499,73638620,-806876800
,91,2018/03/15 00:39:06.84,-697539542,96325353,73833786,-807236082
,92,2018/03/15 00:39:06.86,-697085550,96233883,74072158,-807617235
,93,2018/03/15 00:39:06.88,-696570141,96102407,74359602,-808051064
,94,2018/03/15 00:39:06.90,-695991051,95995315,74631339,-808537585
,95,2018/03/15 00:39:06.92,-695376726,95862318,74887976,-809058047
,96,2018/03/15 00:39:06.94,-694782335,95751852,75147160,-809557597
,97,2018/03/15 00:39:06.96,-694262835,95618852,75419329,-809993570
,98,2018/03/15 00:39:06.98,-693849726,95461254,75717067,-810338287
,99,2018/03/15 00:39:07.00,-693499981,95280211,76051194,-810627646
,100,2018/03/15 00:39:07.02,-693156983,95071519,76413280,-810911414
,101,2018/03/15 00:39:07.04,-692785942,94827326,76835312,-811217146
,102,2018/03/15 00:39:07.06,-692363013,94561459,77293580,-811565646
,103,2018/03/15 00:39:07.08,-691894936,94225110,77783775,-811957029
,104,2018/03/15 00:39:07.10,-691360712,93836364,78289633,-812408361
,105,2018/03/15 00:39:07.12,-690761121,93429194,78838273,-812912106
,106,2018/03/15 00:39:07.14,-690112310,92994280,79386320,-813459515
,107,2018/03/15 00:39:07.16,-689478373,92542432,80006515,-813987676
,108,2018/03/15 00:39:07.18,-688925407,92093706,80677159,-814440443
,109,2018/03/15 00:39:07.20,-688427736,91579799,81276766,-814859490
,110,2018/03/15 00:39:07.22,-687937068,90927811,81776233,-815296803
,111,2018/03/15 00:39:07.24,-687398726,90267944,82165507,-815784915
,112,2018/03/15 00:39:07.26,-686829489,89805896,82459840,-816285511
,113,2018/03/15 00:39:07.28,-686256947,89492044,82787727,-816768190
,114,2018/03/15 00:39:07.30,-685665228,89276415,83171616,-817249599
,115,2018/03/15 00:39:07.32,-685017248,88988527,83593839,-817781138
,116,2018/03/15 00:39:07.34,-684361147,88701343,84018991,-818317914
,117,2018/03/15 00:39:07.36,-683651465,88410146,84380105,-818905259
,118,2018/03/15 00:39:07.38,-682870191,88108168,84666736,-819559823
,119,2018/03/15 00:39:07.40,-682003296,87789645,84918769,-820289457
,120,2018/03/15 00:39:07.42,-681038573,87518919,85129966,-821097617
,121,2018/03/15 00:39:07.44,-679927488,87254045,85210858,-822037687
,122,2018/03/15 00:39:07.46,-678550001,87036481,85154595,-823203953
,123,2018/03/15 00:39:07.48,-676818194,86898591,84981007,-824660840
,124,2018/03/15 00:39:07.50,-674671036,86837659,84696200,-826454036
,125,2018/03/15 00:39:07.52,-672022687,86859389,84264883,-828650645
,126,2018/03/15 00:39:07.54,-668728777,86934614,83757480,-831354550
,127,2018/03/15 00:39:07.56,-662383271,87197545,82980938,-836469163
,128,2018/03/15 00:39:07.58,-657211857,87583668,82493394,-840546265
,129,2018/03/15 00:39:07.60,-651483335,88220303,82023512,-844973546
,130,2018/03/15 00:39:07.62,-645487119,89040104,81628207,-849515498
,131,2018/03/15 00:39:07.64,-639535833,89870081,81368373,-853942611
,132,2018/03/15 00:39:07.66,-633827204,90659131,81225161,-858118860
,133,2018/03/15 00:39:07.68,-628515068,91248862,81207216,-861956698
,134,2018/03/15 00:39:07.70,-623696104,91609904,81278775,-865405144
,135,2018/03/15 00:39:07.72,-619460817,91761340,81469222,-868407984
,136,2018/03/15 00:39:07.74,-615841570,91770906,81730276,-870952886
,137,2018/03/15 00:39:07.76,-612842429,91602932,81983246,-873059742
,138,2018/03/15 00:39:07.78,-610404823,91304392,82185585,-874777970
,139,2018/03/15 00:39:07.80,-608491297,90951685,82314684,-876134654
,140,2018/03/15 00:39:07.82,-607071997,90522977,82398549,-877155156
,141,2018/03/15 00:39:07.84,-606062004,90050391,82492686,-877893068
,142,2018/03/15 00:39:07.86,-605427489,89522675,82614429,-878373274
,143,2018/03/15 00:39:07.88,-605052398,89006031,82782659,-878668345
,144,2018/03/15 00:39:07.90,-604819850,88536358,82963087,-878858860
,145,2018/03/15 00:39:07.92,-604614657,88006068,83091005,-879041205
,146,2018/03/15 00:39:07.94,-604372052,87509423,83186561,-879248558
,147,2018/03/15 00:39:07.96,-604100390,87152895,83168000,-879472389
,148,2018/03/15 00:39:07.98,-603787814,86961635,83044936,-879717566
,149,2018/03/15 00:39:08.00,-603441312,86824549,82946563,-879978100
,150,2018/03/15 00:39:08.02,-603056911,86635219,82950632,-880259848
,151,2018/03/15 00:39:08.04,-602662066,86406565,83021053,-880546053
,152,2018/03/15 00:39:08.06,-602268617,86169857,83129553,-880828163
,153,2018/03/15 00:39:08.08,-601853833,85929389,83226255,-881125986
,154,2018/03/15 00:39:08.10,-601390784,85615400,83338485,-881462042
,155,2018/03/15 00:39:08.12,-600862069,85289266,83499935,-881838865
,156,2018/03/15 00:39:08.14,-600306365,85009182,83653630,-882229723
,157,2018/03/15 00:39:08.16,-599740099,84765961,83749407,-882629078
,158,2018/03/15 00:39:08.18,-599199137,84573437,83821527,-883008033
,159,2018/03/15 00:39:08.20,-598697430,84472053,83816939,-883358414
,160,2018/03/15 00:39:08.22,-598247985,84531771,83809002,-883657901
,161,2018/03/15 00:39:08.24,-597890011,84660949,83774586,-883891048
,162,2018/03/15 00:39:08.26,-597648121,84872588,83737316,-884037859
