// Data mode  : Standard
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,EOG_L1,EOG_R1,EOG_L2,EOG_R2,EOG_H1,EOG_H2,EOG_V1,EOG_V2
,1,2018/03/15 01:40:48.67,-1171,10281,-12798,-104,8,-85,30,-112,-115,48,27
,2,2018/03/15 01:40:48.69,-1067,10231,-12511,-66,51,-30,86,-117,-116,7,-28
,3,2018/03/15 01:40:48.71,-1167,10176,-12643,-31,90,-37,87,-121,-124,-29,-25
,4,2018/03/15 01:40:48.73,-1189,10319,-12482,-44,76,-45,78,-120,-123,-16,-16
,5,2018/03/15 01:40:48.75,-1211,10445,-12525,-50,74,-47,83,-124,-130,-12,-18
,6,2018/03/15 01:40:48.77,-1147,10488,-12529,-51,81,-53,80,-132,-133,-15,-13
,7,2018/03/15 01:40:48.79,-1135,10367,-12618,-53,83,-55,81,-136,-136,-15,-13
,8,2018/03/15 01:40:48.81,-1123,10329,-12632,-62,76,-69,72,-138,-141,-7,-1
,9,2018/03/15 01:40:48.83,-1052,10356,-12543,-75,68,-75,70,-143,-145,3,2
,10,2018/03/15 01:40:48.85,-1098,10337,-12881,-78,62,-73,63,-140,-136,8,5
,11,2018/03/15 01:40:48.87,-1260,9581,-12544,-76,67,-73,68,-143,-141,4,2
,12,2018/03/15 01:40:48.89,-1206,10036,-13104,-64,79,-65,80,-143,-145,-7,-7
,13,2018/03/15 01:40:48.91,-947,10462,-12836,-66,83,-77,85,-149,-162,-8,-4
,14,2018/03/15 01:40:48.93,-974,10472,-12673,-85,83,-85,92,-168,-177,1,-3
,15,2018/03/15 01:40:48.95,-1046,10341,-12786,-82,94,-75,97,-176,-172,-6,-11
,16,2018/03/15 01:40:48.97,-1180,10370,-12564,-76,99,-78,96,-175,-174,-11,-9
,17,2018/03/15 01:40:48.99,-1253,10123,-12637,-71,99,-70,96,-170,-166,-14,-13
,18,2018/03/15 01:40:49.01,-1200,10099,-12778,-70,98,-62,107,-168,-169,-14,-22
,19,2018/03/15 01:40:49.03,-1136,10019,-12871,-66,102,-70,101,-168,-171,-18,-15
,20,2018/03/15 01:40:49.05,-1146,10101,-12825,-70,101,-69,103,-171,-172,-15,-17
,21,2018/03/15 01:40:49.07,-1161,10283,-12518,-64,102,-76,94,-166,-170,-19,-9
,22,2018/03/15 01:40:49.09,-1124,10254,-12712,-75,96,-86,81,-171,-167,-10,2
,23,2018/03/15 01:40:49.11,-1164,10287,-12583,-64,99,-53,112,-163,-165,-17,-29
,24,2018/03/15 01:40:49.13,-1101,10211,-12629,-37,125,-22,135,-162,-157,-44,-56
,25,2018/03/15 01:40:49.15,-1199,10135,-12727,-22,128,-28,123,-150,-151,-53,-47
,26,2018/03/15 01:40:49.17,-1133,10188,-12752,-28,130,-33,118,-158,-151,-51,-42
,27,2018/03/15 01:40:49.19,-1050,10188,-12663,-31,123,-34,115,-154,-149,-46,-40
,28,2018/03/15 01:40:49.21,-1184,10054,-12720,-36,110,-43,104,-146,-147,-37,-30
,29,2018/03/15 01:40:49.23,-1167,10064,-12723,-42,102,-36,106,-144,-142,-30,-35
,30,2018/03/15 01:40:49.25,-1148,10430,-12795,-39,102,-53,90,-141,-143,-31,-18
,31,2018/03/15 01:40:49.27,-1145,10340,-12583,-64,80,-70,72,-144,-142,-8,-1
,32,2018/03/15 01:40:49.29,-1296,10292,-12991,-64,82,-67,80,-146,-147,-9,-6
,33,2018/03/15 01:40:49.31,-1380,10440,-12927,-74,75,-74,74,-149,-148,0,0
,34,2018/03/15 01:40:49.33,-1371,10458,-12533,-83,62,-76,69,-145,-145,10,3
,35,2018/03/15 01:40:49.35,-1504,10032,-12304,-75,71,-68,85,-146,-153,2,-8
,36,2018/03/15 01:40:49.37,-1131,9832,-12900,-43,105,-44,103,-148,-147,-31,-29
,37,2018/03/15 01:40:49.39,-1122,10122,-12665,-24,123,-18,127,-147,-145,-49,-54
,38,2018/03/15 01:40:49.41,-1121,10489,-12669,-28,118,-35,112,-146,-147,-45,-38
,39,2018/03/15 01:40:49.43,-1121,10555,-12619,-38,108,-40,108,-146,-148,-35,-34
,40,2018/03/15 01:40:49.45,-1157,10331,-12558,-45,103,-51,96,-148,-147,-29,-22
,41,2018/03/15 01:40:49.47,-1268,10174,-12621,-50,98,-43,100,-148,-143,-24,-28
,42,2018/03/15 01:40:49.49,-1222,10072,-12498,-57,91,-61,85,-148,-146,-17,-12
,43,2018/03/15 01:40:49.51,-1216,10261,-12505,-81,64,-72,75,-145,-147,8,-1
,44,2018/03/15 01:40:49.53,-1169,10197,-12346,-73,76,-76,83,-149,-159,-1,-3
,45,2018/03/15 01:40:49.55,-1316,10326,-12999,-73,88,-76,85,-161,-161,-7,-4
,46,2018/03/15 01:40:49.57,-1148,10358,-13003,-72,89,-68,95,-161,-163,-8,-13
,47,2018/03/15 01:40:49.59,-1143,10701,-12605,-65,96,-60,97,-161,-157,-15,-18
,48,2018/03/15 01:40:49.61,-1187,10609,-12526,-65,91,-70,93,-156,-163,-13,-11
,49,2018/03/15 01:40:49.63,-1315,10418,-12802,-64,94,-56,102,-158,-158,-15,-23
,50,2018/03/15 01:40:49.65,-1343,10254,-12555,-50,103,-55,93,-153,-148,-26,-19
,51,2018/03/15 01:40:49.67,-1288,10331,-12440,-55,92,-56,95,-147,-151,-18,-19
,52,2018/03/15 01:40:49.69,-1263,10338,-12599,-57,101,-52,105,-158,-157,-22,-26
,53,2018/03/15 01:40:49.71,-1276,10272,-12733,-53,102,-53,101,-155,-154,-24,-24
,54,2018/03/15 01:40:49.73,-1163,10386,-12653,-53,100,-58,99,-153,-157,-23,-20
,55,2018/03/15 01:40:49.75,-1204,10683,-12752,-51,101,-50,107,-152,-157,-25,-28
,56,2018/03/15 01:40:49.77,-1272,10578,-12732,-49,110,-56,102,-159,-158,-30,-23
,57,2018/03/15 01:40:49.79,-1340,10397,-12739,-62,96,-54,105,-158,-159,-17,-25
,58,2018/03/15 01:40:49.81,-1322,10324,-12627,-55,99,-53,101,-154,-154,-22,-24
,59,2018/03/15 01:40:49.83,-1385,10281,-12683,-54,102,-54,101,-156,-155,-24,-23
,60,2018/03/15 01:40:49.85,-1511,10096,-12701,-49,104,-52,103,-153,-155,-27,-25
,61,2018/03/15 01:40:49.87,-1455,10237,-12541,-44,109,-40,112,-153,-152,-32,-36
,62,2018/03/15 01:40:49.89,-1427,10059,-12541,-27,122,-27,120,-149,-147,-47,-46
,63,2018/03/15 01:40:49.91,-1435,9958,-12451,-29,113,-39,98,-142,-137,-42,-29
,64,2018/03/15 01:40:49.93,-1502,10114,-12719,-29,105,-28,103,-134,-131,-38,-37
,65,2018/03/15 01:40:49.95,-1416,10233,-12646,-30,104,-28,101,-134,-129,-37,-36
,66,2018/03/15 01:40:49.97,-1376,10581,-12829,-24,104,-28,93,-128,-121,-40,-32
,67,2018/03/15 01:40:49.99,-1630,10877,-12919,-27,86,-22,86,-113,-108,-29,-32
,68,2018/03/15 01:40:50.01,-1588,10557,-12729,-24,76,-23,77,-100,-100,-26,-27
,69,2018/03/15 01:40:50.03,-1669,10266,-12640,-32,73,-42,64,-105,-106,-20,-11
,70,2018/03/15 01:40:50.05,-1730,10084,-12679,-46,69,-54,65,-115,-119,-11,-5
,71,2018/03/15 01:40:50.07,-1749,9954,-12606,-56,72,-52,73,-128,-125,-8,-10
,72,2018/03/15 01:40:50.09,-1731,9770,-12697,-56,70,-57,74,-126,-131,-7,-8
,73,2018/03/15 01:40:50.11,-1786,9789,-12626,-58,73,-57,75,-131,-132,-7,-9
,74,2018/03/15 01:40:50.13,-1700,10053,-12605,-56,76,-63,79,-132,-142,-10,-8
,75,2018/03/15 01:40:50.15,-1658,10097,-12565,-60,93,-62,104,-153,-166,-16,-21
