// Data mode  : Standard
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,EOG_L1,EOG_R1,EOG_L2,EOG_R2,EOG_H1,EOG_H2,EOG_V1,EOG_V2
,1,2018/03/15 00:36:38.19,-1836,11827,-11291,-60,90,-56,100,-150,-156,-15,-22
,2,2018/03/15 00:36:38.21,-1857,11750,-11220,-55,98,-56,90,-153,-146,-21,-17
,3,2018/03/15 00:36:38.23,-1806,11621,-11204,-52,96,-65,76,-148,-141,-22,-5
,4,2018/03/15 00:36:38.25,-1889,11603,-11279,-67,64,-61,63,-131,-124,1,-1
,5,2018/03/15 00:36:38.27,-1899,11551,-11354,-61,58,-62,66,-119,-128,1,-2
,6,2018/03/15 00:36:38.29,-1855,11521,-11358,-76,52,-91,39,-128,-130,12,26
,7,2018/03/15 00:36:38.31,-1823,11535,-11255,-94,34,-99,28,-128,-127,30,35
,8,2018/03/15 00:36:38.33,-1793,11591,-11360,-93,40,-95,27,-133,-122,26,34
,9,2018/03/15 00:36:38.35,-1810,11554,-11400,-99,20,-99,21,-119,-120,39,39
,10,2018/03/15 00:36:38.37,-1840,11579,-11379,-97,21,-94,26,-118,-120,38,34
,11,2018/03/15 00:36:38.39,-1886,11534,-11334,-106,8,-114,-3,-114,-111,49,58
,12,2018/03/15 00:36:38.41,-1900,11476,-11309,-98,13,-75,38,-111,-113,42,18
,13,2018/03/15 00:36:38.43,-1928,11498,-11304,-49,72,-40,85,-121,-125,-11,-22
,14,2018/03/15 00:36:38.45,-1964,11489,-11286,-36,93,-31,102,-129,-133,-28,-35
,15,2018/03/15 00:36:38.47,-1921,11550,-11297,-26,104,-11,117,-130,-128,-39,-53
,16,2018/03/15 00:36:38.49,-1943,11598,-11362,-16,106,-21,102,-122,-123,-45,-40
,17,2018/03/15 00:36:38.51,-1959,11567,-11412,-20,102,-38,79,-122,-117,-41,-20
,18,2018/03/15 00:36:38.53,-2000,11564,-11368,-32,89,-28,78,-121,-106,-28,-25
,19,2018/03/15 00:36:38.55,-2004,11544,-11291,-31,76,-34,80,-107,-114,-22,-23
,20,2018/03/15 00:36:38.57,-1902,11493,-11342,-39,71,-27,87,-110,-114,-16,-30
,21,2018/03/15 00:36:38.59,-1951,11480,-11362,-33,74,-33,60,-107,-93,-20,-13
,22,2018/03/15 00:36:38.61,-1912,11517,-11366,-31,56,-47,41,-87,-88,-12,3
,23,2018/03/15 00:36:38.63,-2016,11568,-11354,-41,57,-40,63,-98,-103,-8,-11
,24,2018/03/15 00:36:38.65,-1969,11585,-11384,-48,54,-40,64,-102,-104,-3,-12
,25,2018/03/15 00:36:38.67,-1928,11580,-11380,-47,60,-60,58,-107,-118,-6,1
,26,2018/03/15 00:36:38.69,-1917,11502,-11344,-69,49,-65,49,-118,-114,10,8
,27,2018/03/15 00:36:38.71,-2017,11556,-11394,-45,73,-50,67,-118,-117,-14,-8
,28,2018/03/15 00:36:38.73,-2052,11539,-11396,-46,74,-46,71,-120,-117,-14,-12
,29,2018/03/15 00:36:38.75,-1993,11586,-11378,-54,64,-53,69,-118,-122,-5,-8
,30,2018/03/15 00:36:38.77,-1987,11651,-11360,-59,61,-55,63,-120,-118,-1,-4
,31,2018/03/15 00:36:38.79,-2021,11550,-11337,-57,63,-61,59,-120,-120,-3,1
,32,2018/03/15 00:36:38.81,-1999,11513,-11329,-52,66,-50,57,-118,-107,-7,-3
,33,2018/03/15 00:36:38.83,-2096,11486,-11406,-44,62,-47,59,-106,-106,-9,-6
,34,2018/03/15 00:36:38.85,-2056,11541,-11330,-42,62,-32,74,-104,-106,-10,-21
,35,2018/03/15 00:36:38.87,-2101,11597,-11270,-30,74,-19,84,-104,-103,-22,-32
,36,2018/03/15 00:36:38.89,-2165,11613,-11394,-22,82,-35,69,-104,-104,-30,-17
,37,2018/03/15 00:36:38.91,-2181,11592,-11446,-32,75,-34,72,-107,-106,-21,-19
,38,2018/03/15 00:36:38.93,-2162,11585,-11313,-42,62,-33,71,-104,-104,-10,-19
,39,2018/03/15 00:36:38.95,-2201,11559,-11199,-29,68,-23,80,-97,-103,-19,-28
,40,2018/03/15 00:36:38.97,-2208,11611,-11245,-16,76,-15,65,-92,-80,-30,-25
,41,2018/03/15 00:36:38.99,-2190,11591,-11335,-10,64,-14,56,-74,-70,-27,-21
,42,2018/03/15 00:36:39.01,-2230,11551,-11353,-8,66,-1,76,-74,-77,-29,-37
,43,2018/03/15 00:36:39.03,-2294,11541,-11330,-6,76,-9,78,-82,-87,-35,-34
,44,2018/03/15 00:36:39.05,-2486,11484,-11301,-22,66,-21,70,-88,-91,-22,-24
,45,2018/03/15 00:36:39.07,-2382,11459,-11395,-19,72,-21,75,-91,-96,-26,-27
,46,2018/03/15 00:36:39.09,-2433,11408,-11325,-32,63,-46,42,-95,-88,-15,2
,47,2018/03/15 00:36:39.11,-2448,11455,-11331,-38,53,-26,61,-91,-87,-7,-17
,48,2018/03/15 00:36:39.13,-2450,11475,-11328,-16,74,-12,81,-90,-93,-29,-34
,49,2018/03/15 00:36:39.15,-2533,11449,-11388,-19,73,-16,82,-92,-98,-27,-33
,50,2018/03/15 00:36:39.17,-2563,11481,-11354,-16,82,-16,79,-98,-95,-33,-31
,51,2018/03/15 00:36:39.19,-2545,11440,-11322,-16,80,-23,73,-96,-96,-32,-25
,52,2018/03/15 00:36:39.21,-2646,11344,-11401,-18,83,-14,89,-101,-103,-32,-37
,53,2018/03/15 00:36:39.23,-2723,11271,-11418,-16,86,-19,83,-102,-102,-35,-32
,54,2018/03/15 00:36:39.25,-2737,11258,-11359,-20,77,-9,93,-97,-102,-28,-42
,55,2018/03/15 00:36:39.27,-2745,11299,-11348,-5,98,-17,81,-103,-98,-46,-32
,56,2018/03/15 00:36:39.29,-2796,11299,-11383,-25,74,-32,66,-99,-98,-24,-17
,57,2018/03/15 00:36:39.31,-2771,11312,-11411,-25,74,-25,72,-99,-97,-24,-23
,58,2018/03/15 00:36:39.33,-2912,11279,-11388,-24,72,-26,70,-96,-96,-24,-22
,59,2018/03/15 00:36:39.35,-2873,11196,-11367,-37,60,-35,63,-97,-98,-11,-14
,60,2018/03/15 00:36:39.37,-2870,11158,-11406,-37,68,-35,72,-105,-107,-15,-18
,61,2018/03/15 00:36:39.39,-2921,11123,-11443,-32,75,-28,80,-107,-108,-21,-26
,62,2018/03/15 00:36:39.41,-2834,11089,-11398,-26,87,-28,81,-113,-109,-30,-26
,63,2018/03/15 00:36:39.43,-2901,11082,-11446,-37,68,-32,73,-105,-105,-15,-20
,64,2018/03/15 00:36:39.45,-2876,11104,-11434,-36,66,-37,66,-102,-103,-15,-14
,65,2018/03/15 00:36:39.47,-2879,11158,-11489,-38,67,-48,61,-105,-109,-14,-6
,66,2018/03/15 00:36:39.49,-2833,11224,-11419,-58,54,-64,48,-112,-112,2,8
,67,2018/03/15 00:36:39.51,-2781,11220,-11446,-54,57,-44,63,-111,-107,-1,-9
,68,2018/03/15 00:36:39.53,-2776,11381,-11441,-47,58,-43,66,-105,-109,-5,-11
,69,2018/03/15 00:36:39.55,-2809,11354,-11417,-40,68,-35,68,-108,-103,-14,-16
,70,2018/03/15 00:36:39.57,-2871,11310,-11438,-43,57,-54,45,-100,-99,-7,4
,71,2018/03/15 00:36:39.59,-2886,11285,-11290,-44,57,-39,59,-101,-98,-6,-10
,72,2018/03/15 00:36:39.61,-2855,11286,-11219,-38,57,-36,56,-95,-92,-9,-10
,73,2018/03/15 00:36:39.63,-2849,11316,-11407,-36,58,-32,66,-94,-98,-11,-17
,74,2018/03/15 00:36:39.65,-2906,11388,-11409,-31,62,-31,58,-93,-89,-15,-13
,75,2018/03/15 00:36:39.67,-2827,11450,-11397,-23,67,-28,63,-90,-91,-22,-17
,76,2018/03/15 00:36:39.69,-2817,11490,-11394,-33,63,-41,62,-96,-103,-15,-10
,77,2018/03/15 00:36:39.71,-2868,11415,-11389,-40,69,-36,78,-109,-114,-14,-21
,78,2018/03/15 00:36:39.73,-2907,11346,-11374,-46,64,-52,49,-110,-101,-9,1
,79,2018/03/15 00:36:39.75,-2896,11253,-11365,-71,21,-67,25,-92,-92,25,21
,80,2018/03/15 00:36:39.77,-2854,11350,-11378,2,92,92,190,-90,-98,-47,-141
,81,2018/03/15 00:36:39.79,-2893,11367,-11337,201,313,371,501,-112,-130,-257,-436
,82,2018/03/15 00:36:39.81,-2813,11475,-11305,672,828,1086,1253,-156,-167,-750,-1169
,83,2018/03/15 00:36:39.83,-2934,11466,-11306,1382,1496,1382,1408,-114,-26,-1439,-1395
,84,2018/03/15 00:36:39.85,-2914,11442,-11270,1116,1109,831,836,7,-5,-1112,-833
,85,2018/03/15 00:36:39.87,-2817,11412,-11387,644,674,496,548,-30,-52,-659,-522
,86,2018/03/15 00:36:39.89,-2847,11432,-11365,379,446,288,361,-67,-73,-412,-324
,87,2018/03/15 00:36:39.91,-2837,11417,-11314,238,312,224,300,-74,-76,-275,-262
,88,2018/03/15 00:36:39.93,-2813,11432,-11298,194,271,167,244,-77,-77,-232,-205
,89,2018/03/15 00:36:39.95,-2866,11461,-11312,141,220,110,190,-79,-80,-180,-150
,90,2018/03/15 00:36:39.97,-2852,11430,-11318,100,185,80,171,-85,-91,-142,-125
,91,2018/03/15 00:36:39.99,-2784,11379,-11365,57,155,28,135,-98,-107,-106,-81
,92,2018/03/15 00:36:40.01,-2850,11410,-11317,3,119,3,127,-116,-124,-61,-65
,93,2018/03/15 00:36:40.03,-2847,11341,-11266,-16,114,-23,106,-130,-129,-49,-41
,94,2018/03/15 00:36:40.05,-2771,11368,-11298,-20,103,-31,86,-123,-117,-41,-27
,95,2018/03/15 00:36:40.07,-2802,11411,-11299,-34,85,-46,71,-119,-117,-25,-12
,96,2018/03/15 00:36:40.09,-2861,11409,-11315,-44,73,-44,72,-117,-116,-14,-14
,97,2018/03/15 00:36:40.11,-2791,11429,-11308,-52,59,-39,73,-111,-112,-3,-17
,98,2018/03/15 00:36:40.13,-2778,11483,-11309,-38,70,-30,78,-108,-108,-16,-24
,99,2018/03/15 00:36:40.15,-2795,11438,-11340,-22,91,-41,69,-113,-110,-34,-14
,100,2018/03/15 00:36:40.17,-2841,11435,-11380,-44,66,-39,64,-110,-103,-11,-12
,101,2018/03/15 00:36:40.19,-2807,11419,-11383,-51,47,-52,47,-98,-99,2,2
,102,2018/03/15 00:36:40.21,-2833,11348,-11422,-52,50,-42,66,-102,-108,1,-12
,103,2018/03/15 00:36:40.23,-2829,11367,-11171,-55,46,-59,33,-101,-92,4,13
,104,2018/03/15 00:36:40.25,-2797,11363,-11240,-60,32,-75,18,-92,-93,14,28
,105,2018/03/15 00:36:40.27,-2842,11446,-11361,-80,16,-87,6,-96,-93,32,40
,106,2018/03/15 00:36:40.29,-2719,11447,-11440,-83,4,-71,23,-87,-94,39,24
,107,2018/03/15 00:36:40.31,-2788,11511,-11325,-65,24,-53,36,-89,-89,20,8
,108,2018/03/15 00:36:40.33,-2809,11481,-11327,-54,34,-57,31,-88,-88,10,13
,109,2018/03/15 00:36:40.35,-2738,11388,-11304,-53,37,-63,32,-90,-95,8,15
,110,2018/03/15 00:36:40.37,-2738,11345,-11311,-62,44,-65,42,-106,-107,9,11
,111,2018/03/15 00:36:40.39,-2836,11328,-11343,-65,37,-56,41,-102,-97,14,7
,112,2018/03/15 00:36:40.41,-2777,11328,-11322,-72,13,-76,8,-85,-84,29,34
,113,2018/03/15 00:36:40.43,-2817,11333,-11388,-72,12,-64,20,-84,-84,30,22
,114,2018/03/15 00:36:40.45,-2797,11313,-11312,-58,31,-66,26,-89,-92,13,20
,115,2018/03/15 00:36:40.47,-2792,11350,-11244,-54,41,-50,46,-95,-96,6,2
,116,2018/03/15 00:36:40.49,-2817,11458,-11330,-57,32,-55,33,-89,-88,12,11
,117,2018/03/15 00:36:40.51,-2855,11392,-11340,-60,30,-50,44,-90,-94,15,3
,118,2018/03/15 00:36:40.53,-2830,11444,-11371,-42,50,-52,35,-92,-87,-4,8
,119,2018/03/15 00:36:40.55,-2826,11438,-11297,-46,36,-54,29,-82,-83,5,12
,120,2018/03/15 00:36:40.57,-2779,11437,-11358,-44,37,-41,41,-81,-82,3,0
,121,2018/03/15 00:36:40.59,-2804,11410,-11297,-49,31,-54,33,-80,-87,9,10
,122,2018/03/15 00:36:40.61,-2856,11417,-11370,-58,35,-58,41,-93,-99,11,8
,123,2018/03/15 00:36:40.63,-2875,11388,-11293,-57,50,-65,41,-107,-106,3,12
,124,2018/03/15 00:36:40.65,-2841,11374,-11361,-58,53,-67,45,-111,-112,2,11
,125,2018/03/15 00:36:40.67,-2819,11370,-11364,-73,43,-74,47,-116,-121,15,13
,126,2018/03/15 00:36:40.69,-2817,11344,-11407,-78,43,-63,59,-121,-122,17,2
,127,2018/03/15 00:36:40.71,-2705,11282,-11368,-64,60,-58,68,-124,-126,2,-5
,128,2018/03/15 00:36:40.73,-2777,11277,-11387,-42,84,-42,78,-126,-120,-21,-18
,129,2018/03/15 00:36:40.75,-2775,11272,-11436,-35,87,-40,88,-122,-128,-26,-24
,130,2018/03/15 00:36:40.77,-2783,11274,-11409,-36,95,-28,107,-131,-135,-29,-39
,131,2018/03/15 00:36:40.79,-2790,11304,-11363,-31,104,-20,117,-135,-137,-36,-48
,132,2018/03/15 00:36:40.81,-2797,11295,-11330,-25,110,-32,104,-135,-136,-42,-36
,133,2018/03/15 00:36:40.83,-2830,11362,-11423,-46,91,-70,63,-137,-133,-22,3
,134,2018/03/15 00:36:40.85,-2803,11304,-11442,-60,75,10,146,-135,-136,-7,-78
,135,2018/03/15 00:36:40.87,-2803,11209,-11413,61,199,50,197,-138,-147,-130,-123
,136,2018/03/15 00:36:40.89,-2761,11218,-11210,-6,152,-40,125,-158,-165,-73,-42
,137,2018/03/15 00:36:40.91,-2754,11305,-11316,-38,141,324,513,-179,-189,-51,-418
,138,2018/03/15 00:36:40.93,-2818,11357,-11410,1246,1390,1917,1774,-144,143,-1318,-1845
,139,2018/03/15 00:36:40.95,-2781,11371,-11450,1919,1782,1920,1787,137,133,-1850,-1853
,140,2018/03/15 00:36:40.97,-2677,11474,-11378,1904,1786,1916,1788,118,128,-1845,-1852
,141,2018/03/15 00:36:40.99,-2825,11549,-11366,1900,1785,1746,1765,115,-19,-1842,-1755
,142,2018/03/15 00:36:41.01,-2808,11402,-11382,1168,1469,701,822,-301,-121,-1318,-761
,143,2018/03/15 00:36:41.03,-2772,11374,-11338,463,383,293,133,80,160,-423,-213
,144,2018/03/15 00:36:41.05,-2762,11327,-11355,91,-68,-169,-272,159,103,-11,220
,145,2018/03/15 00:36:41.07,-2795,11338,-11404,-410,-440,-536,-527,30,-9,425,531
,146,2018/03/15 00:36:41.09,-2688,11310,-11369,-603,-575,-636,-590,-28,-46,589,613
,147,2018/03/15 00:36:41.11,-2724,11380,-11395,-667,-600,-694,-615,-67,-79,633,654
,148,2018/03/15 00:36:41.13,-2761,11315,-11359,-679,-597,-674,-607,-82,-67,638,640
,149,2018/03/15 00:36:41.15,-2725,11328,-11424,-654,-603,-627,-592,-51,-35,628,609
,150,2018/03/15 00:36:41.17,-2702,11306,-11451,-594,-584,-542,-561,-10,19,589,551
,151,2018/03/15 00:36:41.19,-2675,11333,-11450,-530,-568,-531,-568,38,37,549,549
,152,2018/03/15 00:36:41.21,-2683,11312,-11411,-526,-559,-530,-563,33,33,542,546
,153,2018/03/15 00:36:41.23,-2746,11327,-11394,-512,-546,-505,-546,34,41,529,525
,154,2018/03/15 00:36:41.25,-2748,11354,-11428,-490,-536,-484,-532,46,48,513,508
,155,2018/03/15 00:36:41.27,-2692,11354,-11422,-480,-538,-441,-507,58,66,509,474
,156,2018/03/15 00:36:41.29,-2659,11336,-11462,-421,-492,-412,-490,71,78,456,451
,157,2018/03/15 00:36:41.31,-2822,11315,-11479,-410,-490,-417,-499,80,82,450,458
,158,2018/03/15 00:36:41.33,-2712,11301,-11428,-392,-470,-369,-446,78,77,431,407
,159,2018/03/15 00:36:41.35,-2711,11310,-11434,-356,-427,-348,-408,71,60,391,378
,160,2018/03/15 00:36:41.37,-2778,11321,-11495,-341,-394,-312,-354,53,42,367,333
,161,2018/03/15 00:36:41.39,-2737,11252,-11431,-281,-322,-277,-310,41,33,301,293
,162,2018/03/15 00:36:41.41,-2690,11246,-11420,-275,-299,-305,-318,24,13,287,311
,163,2018/03/15 00:36:41.43,-2746,11285,-11479,-306,-310,-321,-320,4,-1,308,320
,164,2018/03/15 00:36:41.45,-2848,11222,-11433,-332,-321,-330,-312,-11,-18,326,321
,165,2018/03/15 00:36:41.47,-2803,11265,-11497,-333,-306,-317,-277,-27,-40,319,297
,166,2018/03/15 00:36:41.49,-2822,11292,-11545,-307,-252,-307,-242,-55,-65,279,274
,167,2018/03/15 00:36:41.51,-2796,11280,-11509,-295,-223,-305,-233,-72,-72,259,269
,168,2018/03/15 00:36:41.53,-2806,11252,-11390,-294,-219,-284,-217,-75,-67,256,250
,169,2018/03/15 00:36:41.55,-2816,11266,-11387,-290,-228,-292,-226,-62,-66,259,259
,170,2018/03/15 00:36:41.57,-2864,11301,-11385,-301,-234,-275,-210,-67,-65,267,242
,171,2018/03/15 00:36:41.59,-2792,11354,-11570,-252,-194,-242,-186,-58,-56,223,214
,172,2018/03/15 00:36:41.61,-2731,11346,-11428,-221,-161,-222,-160,-60,-62,191,191
,173,2018/03/15 00:36:41.63,-2840,11336,-11450,-206,-143,-183,-117,-63,-66,174,150
,174,2018/03/15 00:36:41.65,-2766,11274,-11461,-171,-104,-154,-86,-67,-68,137,120
,175,2018/03/15 00:36:41.67,-2814,11251,-11465,-162,-100,-156,-93,-62,-63,131,124
,176,2018/03/15 00:36:41.69,-2877,11179,-11386,-139,-70,-137,-69,-69,-68,104,103
,177,2018/03/15 00:36:41.71,-2861,11233,-11418,-122,-51,-122,-53,-71,-69,86,87
,178,2018/03/15 00:36:41.73,-2867,11227,-11526,-124,-51,-133,-51,-73,-82,87,92
,179,2018/03/15 00:36:41.75,-2817,11282,-11452,-150,-66,-137,-45,-84,-92,108,91
,180,2018/03/15 00:36:41.77,-2700,11265,-11445,-141,-49,-130,-40,-92,-90,95,85
,181,2018/03/15 00:36:41.79,-2746,11263,-11435,-112,-19,-111,-26,-93,-85,65,68
,182,2018/03/15 00:36:41.81,-2833,11245,-11431,-106,-18,-113,-33,-88,-80,62,73
,183,2018/03/15 00:36:41.83,-2789,11201,-11465,-124,-44,-122,-36,-80,-86,84,79
,184,2018/03/15 00:36:41.85,-2844,11220,-11464,-122,-35,-106,-11,-87,-95,78,58
,185,2018/03/15 00:36:41.87,-2802,11211,-11422,-110,-18,-107,-16,-92,-91,64,61
,186,2018/03/15 00:36:41.89,-2858,11233,-11377,-98,-8,-100,-8,-90,-92,53,54
,187,2018/03/15 00:36:41.91,-2727,11288,-11411,-76,24,-74,23,-100,-97,26,25
,188,2018/03/15 00:36:41.93,-2771,11319,-11448,-83,8,-95,-3,-91,-92,37,49
,189,2018/03/15 00:36:41.95,-2716,11340,-11456,-122,-29,-119,-22,-93,-97,75,70
,190,2018/03/15 00:36:41.97,-2711,11320,-11467,-120,-23,-116,-20,-97,-96,71,68
,191,2018/03/15 00:36:41.99,-2672,11344,-11519,-101,-5,-117,-21,-96,-96,53,69
,192,2018/03/15 00:36:42.01,-2625,11340,-11472,-118,-13,-115,-8,-105,-107,65,61
,193,2018/03/15 00:36:42.03,-2634,11363,-11501,-111,-9,-96,6,-102,-102,60,45
,194,2018/03/15 00:36:42.05,-2733,11312,-11470,-103,-4,-95,7,-99,-102,53,44
,195,2018/03/15 00:36:42.07,-2693,11259,-11481,-99,9,-110,4,-108,-114,45,53
,196,2018/03/15 00:36:42.09,-2688,11223,-11451,-110,10,-112,4,-120,-116,50,54
,197,2018/03/15 00:36:42.11,-2667,11224,-11424,-98,12,-99,7,-110,-106,43,46
,198,2018/03/15 00:36:42.13,-2759,11187,-11415,-112,-4,-101,4,-108,-105,58,48
,199,2018/03/15 00:36:42.15,-2719,11235,-11608,-95,3,-105,2,-98,-107,46,51
,200,2018/03/15 00:36:42.17,-2735,11188,-11495,-112,-5,-78,20,-107,-98,58,29
,201,2018/03/15 00:36:42.19,-2623,11273,-11373,6,104,61,168,-98,-107,-55,-114
,202,2018/03/15 00:36:42.21,-2681,11401,-11411,115,218,135,238,-103,-103,-166,-186
,203,2018/03/15 00:36:42.23,-2614,11392,-11477,136,237,140,243,-101,-103,-186,-191
,204,2018/03/15 00:36:42.25,-2708,11413,-11560,126,224,114,208,-98,-94,-175,-161
,205,2018/03/15 00:36:42.27,-2595,11470,-11481,103,203,76,177,-100,-101,-153,-126
,206,2018/03/15 00:36:42.29,-2665,11430,-11442,68,169,45,138,-101,-93,-118,-91
,207,2018/03/15 00:36:42.31,-2672,11430,-11425,29,122,10,111,-93,-101,-75,-60
